customer_id,registration_date,customer_rank,age,gender,prefecture,customer_type
C000135,2023-08-18,ブロンズ,48,男性,愛知県,個人事業主
C000136,2023-05-24,ゴールド,37,その他,愛知県,個人
C000137,2022-03-27,プラチナ,47,男性,神奈川県,個人
C000138,2022-06-07,ゴールド,32,女性,兵庫県,個人
C000139,2022-10-24,ゴールド,22,男性,北海道,個人
C000140,2022-01-08,シルバー,29,男性,兵庫県,個人
C000141,2022-03-19,ブロンズ,54,女性,愛知県,個人事業主
C000142,2023-04-18,ブロンズ,27,女性,兵庫県,個人
C000143,2023-07-14,ブロンズ,57,女性,東京都,個人
C000144,2023-02-17,シルバー,34,男性,千葉県,個人
C000145,2022-07-01,プラチナ,47,男性,福岡県,法人
C000146,2023-02-18,シルバー,31,女性,京都府,個人
C000147,2022-05-24,ブロンズ,18,女性,北海道,個人事業主
C000148,2022-06-09,ゴールド,25,女性,福岡県,個人
C000149,2023-04-07,シルバー,52,男性,福岡県,個人
C000150,2022-12-19,プラチナ,21,男性,兵庫県,法人
C000151,2023-10-05,シルバー,25,男性,神奈川県,個人
C000152,2022-04-05,ブロンズ,40,男性,東京都,個人
C000153,2022-03-08,ブロンズ,64,男性,福岡県,個人
C000154,2022-04-26,ブロンズ,56,男性,北海道,個人
C000155,2022-06-02,シルバー,25,女性,愛知県,個人
C000156,2023-12-18,ゴールド,50,女性,埼玉県,個人
C000157,2022-11-08,プラチナ,50,女性,埼玉県,法人
C000158,2023-03-19,ブロンズ,39,女性,福岡県,個人
C000159,2022-04-07,シルバー,55,女性,愛知県,個人
C000160,2023-05-31,シルバー,32,女性,福岡県,個人
C000161,2023-07-29,ブロンズ,29,女性,神奈川県,個人
C000162,2023-03-16,シルバー,44,男性,兵庫県,個人
C000163,2022-07-01,プラチナ,40,女性,兵庫県,法人
C000164,2023-08-14,ブロンズ,35,女性,千葉県,個人
C000165,2022-02-18,ゴールド,53,女性,福岡県,個人
C000166,2023-08-28,ブロンズ,45,男性,京都府,個人
C000167,2023-11-12,シルバー,57,女性,埼玉県,個人事業主
C000168,2022-04-29,プラチナ,63,男性,埼玉県,個人
C000169,2024-01-01,プラチナ,57,女性,京都府,法人
C000170,2023-02-27,ブロンズ,43,男性,愛知県,個人事業主
C000171,2022-07-14,ゴールド,55,男性,大阪府,個人
C000172,2022-09-14,ゴールド,34,女性,神奈川県,法人
C000173,2023-07-04,ゴールド,24,男性,福岡県,法人
C000174,2023-07-25,ブロンズ,60,女性,大阪府,個人
C000175,2022-09-20,シルバー,34,その他,東京都,個人
C000176,2023-08-07,ブロンズ,45,女性,千葉県,個人
C000177,2022-06-20,シルバー,49,男性,埼玉県,法人
C000178,2022-10-24,ブロンズ,36,男性,東京都,個人事業主
C000179,2022-10-30,シルバー,33,女性,大阪府,法人
C000180,2022-05-22,シルバー,19,女性,東京都,法人
C000181,2023-09-10,ブロンズ,21,男性,埼玉県,個人
C000182,2022-03-30,ブロンズ,27,女性,大阪府,個人事業主
C000183,2022-12-18,シルバー,45,女性,埼玉県,法人
C000184,2023-01-18,ブロンズ,20,男性,千葉県,個人
C000185,2023-11-09,ブロンズ,54,男性,東京都,個人
C000186,2022-05-08,ブロンズ,51,女性,千葉県,個人
C000187,2023-10-16,シルバー,63,女性,愛知県,個人
C000188,2022-08-20,シルバー,38,男性,埼玉県,個人
C000189,2023-12-26,シルバー,50,男性,神奈川県,個人
C000190,2022-04-18,ブロンズ,53,女性,大阪府,個人
C000191,2022-08-06,ゴールド,22,男性,兵庫県,個人
C000192,2022-12-12,ブロンズ,29,女性,福岡県,個人
C000193,2023-04-21,シルバー,51,女性,神奈川県,法人
C000194,2022-08-20,プラチナ,61,男性,兵庫県,個人
C000195,2023-07-28,ブロンズ,63,女性,東京都,個人
C000196,2023-09-09,シルバー,26,女性,京都府,個人事業主
C000197,2023-01-08,ゴールド,39,女性,愛知県,法人
C000198,2022-03-07,シルバー,62,女性,福岡県,個人事業主
C000199,2023-10-19,ゴールド,38,女性,京都府,個人
C000200,2023-11-29,シルバー,42,女性,埼玉県,個人事業主
C000201,2022-04-13,ブロンズ,38,男性,北海道,個人
C000202,2023-07-18,ブロンズ,62,女性,埼玉県,個人
C000203,2022-02-16,シルバー,38,男性,兵庫県,法人
C000204,2022-06-23,ブロンズ,60,男性,福岡県,個人
C000205,2023-03-16,ゴールド,46,男性,千葉県,法人
C000206,2023-12-22,ブロンズ,56,女性,北海道,個人
C000207,2023-09-26,ゴールド,41,女性,福岡県,法人
C000208,2023-02-24,ブロンズ,53,女性,神奈川県,個人
C000209,2023-05-03,ブロンズ,62,男性,京都府,個人
C000210,2023-08-01,ブロンズ,26,男性,東京都,個人
C000211,2022-04-01,ブロンズ,60,女性,京都府,個人
C000212,2023-11-24,ブロンズ,54,男性,神奈川県,個人事業主
C000213,2022-09-11,ブロンズ,29,男性,東京都,個人事業主
C000214,2023-12-16,プラチナ,64,男性,千葉県,個人
C000215,2023-01-28,シルバー,38,女性,福岡県,個人
C000216,2022-12-24,シルバー,25,男性,京都府,個人
C000217,2023-04-09,ブロンズ,43,男性,兵庫県,個人事業主
C000218,2023-11-16,ブロンズ,33,女性,埼玉県,個人
C000219,2023-10-08,ゴールド,31,男性,埼玉県,個人
C000220,2023-08-18,ブロンズ,25,その他,埼玉県,個人
C000221,2022-09-12,ブロンズ,47,男性,神奈川県,個人
C000222,2022-11-26,ゴールド,56,男性,千葉県,法人
C000223,2022-04-22,ブロンズ,51,女性,千葉県,個人
C000224,2023-07-03,シルバー,56,男性,東京都,法人
C000225,2022-08-04,シルバー,42,女性,東京都,個人
C000226,2023-12-17,シルバー,61,男性,埼玉県,法人
C000227,2023-07-16,プラチナ,30,女性,神奈川県,個人
C000228,2023-11-24,シルバー,46,女性,福岡県,法人
C000229,2022-02-04,シルバー,61,その他,兵庫県,個人
C000230,2023-01-08,シルバー,18,男性,神奈川県,個人
C000231,2022-10-30,ブロンズ,47,女性,大阪府,個人
C000232,2023-03-15,ブロンズ,18,女性,京都府,個人
C000233,2022-11-29,ブロンズ,41,男性,兵庫県,個人事業主
C000234,2023-11-02,ブロンズ,23,その他,千葉県,個人
C000235,2023-12-22,ゴールド,51,男性,愛知県,個人
C000236,2022-06-10,ブロンズ,46,女性,福岡県,個人
C000237,2023-05-04,シルバー,27,男性,京都府,個人
C000238,2023-05-29,ブロンズ,20,女性,福岡県,個人事業主
C000239,2023-11-09,プラチナ,26,女性,兵庫県,個人事業主
C000240,2022-06-08,ブロンズ,52,女性,東京都,個人
C000241,2023-05-31,ゴールド,52,男性,千葉県,個人
C000242,2023-10-05,シルバー,31,女性,京都府,個人
C000243,2023-02-13,ブロンズ,46,女性,京都府,個人事業主
C000244,2023-02-04,ブロンズ,32,女性,福岡県,個人事業主
C000245,2022-12-03,ブロンズ,41,男性,北海道,個人
C000246,2023-02-08,シルバー,43,女性,福岡県,個人
C000247,2023-02-20,ブロンズ,45,男性,東京都,個人
C000248,2023-09-10,ゴールド,49,女性,神奈川県,法人
C000249,2022-02-03,シルバー,57,女性,東京都,個人
C000250,2023-04-15,シルバー,33,女性,東京都,個人
C000251,2022-06-10,ゴールド,58,男性,京都府,個人
C000252,2022-02-08,シルバー,44,女性,埼玉県,個人
C000253,2023-08-22,ゴールド,48,女性,兵庫県,個人事業主
C000254,2022-03-01,ブロンズ,47,女性,大阪府,個人
C000255,2023-01-11,シルバー,30,女性,埼玉県,個人
C000256,2023-05-23,ブロンズ,44,その他,東京都,個人
C000257,2023-01-07,ブロンズ,41,女性,北海道,個人
C000258,2022-09-22,シルバー,27,男性,大阪府,個人
C000259,2022-11-16,シルバー,47,女性,北海道,個人
C000260,2023-06-20,プラチナ,53,男性,東京都,法人
C000261,2022-07-27,ブロンズ,27,女性,北海道,個人
C000262,2022-09-15,ブロンズ,35,女性,愛知県,個人
C000263,2023-05-20,シルバー,29,男性,東京都,個人
C000264,2022-03-27,ブロンズ,49,女性,兵庫県,個人
C000265,2022-07-13,ブロンズ,51,その他,東京都,個人事業主
C000266,2023-09-25,ブロンズ,56,女性,愛知県,個人
C000267,2023-08-25,シルバー,37,女性,神奈川県,個人
C000268,2022-12-16,ブロンズ,45,女性,福岡県,個人
C000269,2023-10-10,プラチナ,22,その他,東京都,法人
C000270,2022-06-11,ゴールド,32,女性,神奈川県,個人
C000271,2022-07-27,シルバー,61,女性,千葉県,個人
C000272,2023-11-03,ブロンズ,34,男性,千葉県,個人事業主
C000273,2022-05-21,ブロンズ,24,女性,福岡県,個人
C000274,2022-07-15,ゴールド,20,男性,京都府,個人事業主
C000275,2023-06-10,シルバー,61,男性,京都府,個人
C000276,2022-02-23,ブロンズ,39,女性,福岡県,個人
C000277,2022-12-12,シルバー,28,その他,東京都,個人
C000278,2023-10-22,ブロンズ,47,男性,北海道,個人
C000279,2022-07-07,シルバー,42,女性,北海道,個人
C000280,2022-11-03,ブロンズ,39,女性,京都府,個人事業主
C000281,2022-11-27,ブロンズ,63,男性,北海道,個人
C000282,2023-10-08,ブロンズ,50,女性,大阪府,個人
C000283,2023-12-31,ゴールド,58,男性,東京都,法人
C000284,2022-05-23,ブロンズ,39,男性,北海道,個人
C000285,2023-10-04,シルバー,32,男性,埼玉県,個人
C000286,2022-10-31,ゴールド,28,男性,北海道,法人
C000287,2023-12-24,ゴールド,56,女性,京都府,個人
C000288,2022-12-28,ゴールド,25,女性,愛知県,個人
C000289,2023-02-18,シルバー,24,女性,愛知県,個人
C000290,2022-12-08,ゴールド,43,女性,京都府,個人事業主
C000291,2022-02-01,プラチナ,28,女性,埼玉県,法人
C000292,2022-07-27,ブロンズ,62,女性,神奈川県,個人
C000293,2022-06-14,ブロンズ,62,男性,埼玉県,個人
C000294,2023-02-27,シルバー,61,女性,大阪府,個人
C000295,2022-01-09,ブロンズ,49,女性,神奈川県,個人
C000296,2022-01-18,ブロンズ,46,男性,東京都,個人
C000297,2023-02-04,ブロンズ,38,女性,千葉県,個人事業主
C000298,2022-11-24,シルバー,45,男性,愛知県,個人事業主
C000299,2023-08-03,シルバー,49,女性,兵庫県,個人
C000300,2023-09-07,ブロンズ,53,女性,大阪府,個人
C000301,2023-03-13,プラチナ,29,男性,大阪府,法人
C000302,2022-06-29,ゴールド,50,男性,千葉県,個人
C000303,2023-09-24,ゴールド,40,女性,大阪府,個人
C000304,2022-12-23,ブロンズ,55,女性,北海道,個人
C000305,2022-12-17,ブロンズ,56,男性,大阪府,個人事業主
C000306,2023-08-10,ブロンズ,45,男性,福岡県,個人事業主
C000307,2023-04-16,ブロンズ,57,女性,愛知県,個人
C000308,2023-03-07,ブロンズ,48,男性,神奈川県,個人
C000309,2022-04-12,ブロンズ,27,男性,京都府,個人
C000310,2023-04-20,シルバー,25,女性,東京都,法人
C000311,2023-02-23,ブロンズ,37,男性,福岡県,個人
C000312,2022-02-14,シルバー,54,女性,千葉県,個人
C000313,2022-06-25,ブロンズ,64,女性,愛知県,個人
C000314,2023-02-02,ブロンズ,54,女性,東京都,個人
C000315,2023-09-05,ブロンズ,54,女性,福岡県,個人
C000316,2023-07-25,シルバー,31,女性,愛知県,個人
C000317,2022-02-08,ブロンズ,60,男性,京都府,個人
C000318,2023-03-02,プラチナ,56,女性,大阪府,個人
C000319,2022-10-31,シルバー,40,男性,愛知県,個人
C000320,2023-01-31,ゴールド,25,その他,東京都,個人
C000321,2022-03-04,ブロンズ,22,その他,大阪府,個人
C000322,2023-06-23,ゴールド,43,男性,大阪府,個人
C000323,2023-08-10,ゴールド,64,女性,千葉県,法人
C000324,2023-01-22,プラチナ,50,女性,福岡県,法人
C000325,2023-03-04,シルバー,43,男性,大阪府,個人
C000326,2022-01-28,ブロンズ,26,女性,京都府,個人
C000327,2022-02-13,シルバー,30,男性,愛知県,個人
C000328,2022-05-02,ブロンズ,63,女性,神奈川県,個人
C000329,2022-10-05,ゴールド,30,女性,神奈川県,個人
C000330,2023-01-02,ゴールド,41,男性,埼玉県,個人
C000331,2022-05-11,ブロンズ,18,男性,埼玉県,個人
C000332,2023-08-12,シルバー,46,男性,東京都,個人
C000333,2022-08-23,ブロンズ,55,男性,神奈川県,個人
C000334,2022-04-20,シルバー,19,女性,神奈川県,個人
C000335,2023-10-09,ゴールド,19,女性,福岡県,個人事業主
C000336,2023-05-26,ブロンズ,29,男性,福岡県,個人
C000337,2023-03-08,ブロンズ,60,女性,北海道,個人事業主
C000338,2022-08-22,シルバー,60,男性,埼玉県,個人
C000339,2022-04-23,ブロンズ,64,男性,京都府,個人
C000340,2022-01-17,ブロンズ,21,女性,北海道,個人
C000341,2023-02-02,ブロンズ,63,男性,神奈川県,個人
C000342,2022-03-25,ブロンズ,53,女性,大阪府,個人
C000343,2022-05-23,ブロンズ,42,女性,埼玉県,個人
C000344,2023-01-16,プラチナ,56,女性,埼玉県,法人
C000345,2023-02-24,シルバー,59,女性,愛知県,個人
C000346,2022-10-07,ブロンズ,18,男性,兵庫県,個人
C000347,2022-06-22,プラチナ,39,女性,北海道,個人
C000348,2023-05-27,ブロンズ,26,女性,千葉県,個人
C000349,2022-12-20,ブロンズ,59,女性,東京都,個人
C000350,2023-08-01,ブロンズ,21,男性,神奈川県,個人
C000351,2022-04-30,シルバー,27,女性,神奈川県,法人
C000352,2022-02-25,ブロンズ,22,男性,神奈川県,個人
C000353,2023-09-16,ゴールド,38,男性,福岡県,個人
C000354,2022-03-18,ブロンズ,24,女性,兵庫県,個人
C000355,2022-05-22,シルバー,42,その他,神奈川県,個人
C000356,2023-04-14,ゴールド,20,男性,埼玉県,法人
C000357,2022-09-30,プラチナ,63,男性,兵庫県,個人
C000358,2023-09-22,ゴールド,56,女性,愛知県,法人
C000359,2023-01-14,シルバー,26,男性,北海道,個人
C000360,2022-11-03,シルバー,30,女性,大阪府,個人
C000361,2022-08-03,ブロンズ,49,女性,北海道,個人
C000362,2022-01-20,シルバー,61,男性,神奈川県,個人
C000363,2023-01-25,シルバー,40,男性,北海道,個人
C000364,2023-06-07,シルバー,40,女性,千葉県,法人
C000365,2022-03-11,シルバー,53,その他,京都府,個人
C000366,2023-02-25,シルバー,47,女性,東京都,個人
C000367,2022-11-28,シルバー,37,女性,埼玉県,法人
C000368,2023-01-19,プラチナ,22,女性,千葉県,個人
C000369,2023-01-03,ブロンズ,47,女性,北海道,個人
C000370,2022-11-22,ブロンズ,56,女性,福岡県,個人
C000371,2022-09-29,シルバー,51,男性,愛知県,個人
C000372,2022-09-08,ブロンズ,62,男性,福岡県,個人
C000373,2022-10-10,ブロンズ,40,女性,大阪府,個人
C000374,2023-02-25,ブロンズ,39,女性,北海道,個人
C000375,2023-02-20,ゴールド,59,女性,東京都,法人
C000376,2023-11-21,シルバー,62,男性,千葉県,個人
C000377,2022-03-03,シルバー,20,女性,愛知県,個人
C000378,2022-07-25,ブロンズ,38,男性,大阪府,個人
C000379,2022-09-23,プラチナ,35,女性,京都府,個人
C000380,2023-04-24,ゴールド,53,女性,東京都,個人
C000381,2023-09-14,ゴールド,63,男性,神奈川県,個人事業主
C000382,2022-09-06,ブロンズ,42,女性,大阪府,個人
C000383,2022-12-06,ブロンズ,21,男性,愛知県,個人
C000384,2023-07-13,シルバー,49,男性,愛知県,個人
C000385,2022-03-15,ブロンズ,23,男性,大阪府,個人
C000386,2023-11-03,ブロンズ,48,男性,神奈川県,個人
C000387,2023-01-22,ブロンズ,28,女性,千葉県,個人
C000388,2022-09-26,プラチナ,36,男性,福岡県,個人事業主
C000389,2023-02-07,シルバー,63,男性,東京都,個人
C000390,2023-04-17,シルバー,57,女性,埼玉県,個人事業主
C000391,2022-12-18,ゴールド,53,女性,埼玉県,法人
C000392,2022-02-11,シルバー,52,男性,北海道,法人
C000393,2022-07-25,ブロンズ,39,その他,埼玉県,個人
C000394,2022-12-12,ゴールド,38,男性,福岡県,法人
C000395,2022-03-23,シルバー,56,女性,福岡県,個人
C000396,2023-05-05,シルバー,35,男性,愛知県,個人
C000397,2022-09-24,ブロンズ,28,女性,愛知県,個人
C000398,2023-07-03,ブロンズ,21,女性,大阪府,個人
C000399,2023-05-20,ブロンズ,46,女性,福岡県,個人
C000400,2022-06-27,ゴールド,58,男性,千葉県,個人
C000401,2022-12-05,ゴールド,19,男性,東京都,法人
C000402,2023-12-23,ゴールド,57,女性,埼玉県,個人
C000403,2022-01-06,シルバー,32,女性,埼玉県,個人
C000404,2023-07-13,ブロンズ,49,その他,埼玉県,個人
C000405,2023-09-23,ブロンズ,25,男性,東京都,個人
C000406,2022-04-21,シルバー,52,男性,福岡県,法人
C000407,2023-08-07,シルバー,48,男性,愛知県,個人
C000408,2022-11-29,ゴールド,45,男性,兵庫県,個人
C000409,2023-04-16,シルバー,49,男性,兵庫県,個人
C000410,2022-07-01,ブロンズ,45,女性,千葉県,個人
C000411,2023-01-07,シルバー,19,女性,神奈川県,個人
C000412,2022-06-20,ブロンズ,21,女性,京都府,個人
C000413,2023-05-30,ゴールド,27,女性,千葉県,法人
C000414,2022-12-24,ブロンズ,49,女性,大阪府,個人事業主
C000415,2022-07-28,ブロンズ,34,女性,埼玉県,個人
C000416,2022-03-08,ブロンズ,31,男性,京都府,個人
C000417,2022-04-16,ゴールド,47,女性,神奈川県,個人
C000418,2022-02-15,ブロンズ,38,男性,埼玉県,個人
C000419,2023-11-24,ゴールド,58,女性,福岡県,個人
C000420,2022-12-01,シルバー,25,女性,埼玉県,法人
C000421,2022-03-10,シルバー,28,男性,北海道,個人
C000422,2023-05-12,ブロンズ,45,男性,大阪府,個人
C000423,2022-07-10,シルバー,44,その他,神奈川県,個人
C000424,2022-11-21,ゴールド,30,男性,福岡県,個人事業主
C000425,2022-01-31,プラチナ,20,男性,神奈川県,法人
C000426,2023-12-10,シルバー,56,女性,京都府,個人
C000427,2023-08-27,ゴールド,25,女性,千葉県,法人
C000428,2023-08-26,シルバー,20,その他,千葉県,個人
C000429,2022-09-06,ブロンズ,59,女性,京都府,個人
C000430,2023-12-23,シルバー,63,女性,大阪府,個人
C000431,2023-09-12,シルバー,53,男性,兵庫県,個人
C000432,2023-02-22,ブロンズ,34,男性,京都府,個人事業主
C000433,2022-11-10,シルバー,37,男性,神奈川県,個人
C000434,2023-10-24,ゴールド,54,男性,愛知県,個人事業主
C000435,2023-12-13,シルバー,52,男性,北海道,法人
C000436,2022-09-20,ブロンズ,56,男性,北海道,個人
C000437,2023-06-28,シルバー,37,男性,埼玉県,個人
C000438,2022-08-04,シルバー,20,男性,兵庫県,個人
C000439,2023-11-08,シルバー,41,女性,大阪府,個人事業主
C000440,2023-07-27,ブロンズ,36,女性,神奈川県,個人事業主
C000441,2022-11-22,シルバー,29,女性,北海道,個人
C000442,2023-09-07,シルバー,36,男性,愛知県,個人
C000443,2023-01-17,ブロンズ,50,男性,愛知県,個人
C000444,2023-09-11,シルバー,64,その他,北海道,個人
C000445,2023-07-25,ブロンズ,21,女性,北海道,個人
C000446,2022-06-22,ゴールド,28,女性,兵庫県,個人
C000447,2022-11-28,ブロンズ,27,男性,東京都,個人
C000448,2023-04-23,シルバー,23,女性,神奈川県,個人
C000449,2022-11-02,プラチナ,43,女性,福岡県,法人
C000450,2023-11-14,ブロンズ,22,女性,兵庫県,個人
C000451,2023-04-17,ブロンズ,56,女性,東京都,個人
C000452,2023-02-23,ブロンズ,58,男性,京都府,個人
C000453,2022-07-08,ゴールド,42,その他,千葉県,個人
C000454,2022-04-24,ブロンズ,45,男性,埼玉県,個人
C000455,2023-05-27,シルバー,27,男性,北海道,個人
C000456,2022-04-24,ゴールド,23,男性,愛知県,個人
