date,channel,impressions,clicks,cost,conversions,cv_type,revenue
2024-01-19,LINE Ads,2461,130,4536,6,会員登録,35408
2024-01-19,Yahoo!広告,3795,74,3416,3,購入,22640
2024-01-20,Google Ads,9362,223,10052,12,購入,84401
2024-01-20,Meta Ads,7448,312,6632,8,お気に入り,58057
2024-01-20,LINE Ads,2831,146,5417,5,会員登録,28195
2024-01-20,Yahoo!広告,1442,60,3594,2,購入,11479
2024-01-21,Google Ads,5857,320,8719,16,購入,111773
2024-01-21,Meta Ads,5141,103,5067,6,購入,39390
2024-01-21,LINE Ads,3876,68,5260,5,購入,26928
2024-01-21,Yahoo!広告,2633,129,4155,7,購入,55881
2024-01-22,Google Ads,5289,90,10608,6,購入,18901
2024-01-22,Meta Ads,8684,141,9103,4,購入,24336
2024-01-22,LINE Ads,4277,215,4568,16,お気に入り,48916
2024-01-22,Yahoo!広告,2271,69,2809,5,お気に入り,29835
2024-01-23,Google Ads,5499,284,9658,12,購入,78620
2024-01-23,Meta Ads,5182,244,8049,8,購入,61241
2024-01-23,LINE Ads,2231,99,3660,3,購入,16900
2024-01-23,Yahoo!広告,1580,91,3420,5,購入,29080
2024-01-24,Google Ads,5144,148,11216,6,お気に入り,35336
2024-01-24,Meta Ads,4362,100,6045,4,購入,22105
2024-01-24,LINE Ads,1654,88,3787,6,購入,46415
2024-01-24,Yahoo!広告,1750,92,2923,5,会員登録,27205
2024-01-25,Google Ads,6714,368,11682,9,購入,39291
2024-01-25,Meta Ads,3923,229,8947,10,購入,66909
2024-01-25,LINE Ads,3144,171,5203,13,会員登録,90704
2024-01-25,Yahoo!広告,1805,19,4407,1,お気に入り,3155
2024-01-26,Google Ads,3982,67,6673,2,購入,7280
2024-01-26,Meta Ads,5663,170,6854,11,購入,83776
2024-01-26,LINE Ads,3334,66,4211,4,会員登録,29552
2024-01-26,Yahoo!広告,3809,203,4519,4,会員登録,21064
2024-01-27,Google Ads,4250,180,10274,7,購入,36174
2024-01-27,Meta Ads,4407,119,8397,8,購入,51386
2024-01-27,LINE Ads,6156,157,5717,11,お気に入り,61426
2024-01-27,Yahoo!広告,2137,62,4113,1,会員登録,3246
2024-01-28,Google Ads,3490,123,7942,4,購入,29680
2024-01-28,Meta Ads,7544,147,8099,4,お気に入り,31676
2024-01-28,LINE Ads,4188,208,3574,14,購入,65864
2024-01-28,Yahoo!広告,3812,96,3411,6,購入,30553
2024-01-29,Google Ads,6207,254,10703,12,購入,90528
2024-01-29,Meta Ads,5018,280,6324,22,会員登録,113522
2024-01-29,LINE Ads,4344,174,6023,4,購入,25816
2024-01-29,Yahoo!広告,3353,69,3318,3,購入,18955
2024-01-30,Google Ads,3457,126,8305,8,会員登録,26815
2024-01-30,Meta Ads,4547,270,9008,21,会員登録,139404
2024-01-30,LINE Ads,1590,59,3532,4,購入,30415
2024-01-30,Yahoo!広告,2114,124,2746,6,購入,31483
2024-01-31,Google Ads,3716,67,7766,2,購入,14064
2024-01-31,Meta Ads,4397,188,5246,10,会員登録,33854
2024-01-31,LINE Ads,2586,49,5054,2,お気に入り,10064
2024-01-31,Yahoo!広告,2236,41,2584,1,購入,7032
2024-02-01,Google Ads,3404,181,7070,9,お気に入り,42281
2024-02-01,Meta Ads,3599,79,5228,4,購入,26269
2024-02-01,LINE Ads,1904,64,4541,3,購入,22901
2024-02-01,Yahoo!広告,1801,101,3321,7,会員登録,36131
2024-02-02,Google Ads,6397,326,6068,20,会員登録,68947
2024-02-02,Meta Ads,2889,115,4299,7,購入,38410
2024-02-02,LINE Ads,2864,28,4273,1,お気に入り,3030
2024-02-02,Yahoo!広告,1298,13,2257,0,購入,0
2024-02-03,Google Ads,6014,70,5852,3,会員登録,15140
2024-02-03,Meta Ads,3023,79,5147,5,購入,38902
2024-02-03,LINE Ads,5838,339,4711,15,お気に入り,112475
2024-02-03,Yahoo!広告,1597,92,2951,6,購入,19905
2024-02-04,Google Ads,6467,127,7984,5,購入,35774
2024-02-04,Meta Ads,6613,188,7294,6,購入,28796
2024-02-04,LINE Ads,2263,134,5152,8,会員登録,30113
2024-02-04,Yahoo!広告,1781,46,2255,1,購入,7227
2024-02-05,Google Ads,6988,339,8150,17,購入,80787
2024-02-05,Meta Ads,2040,116,4820,5,購入,37603
2024-02-05,LINE Ads,2451,105,3924,6,お気に入り,39839
2024-02-05,Yahoo!広告,2490,100,3312,2,購入,10298
2024-02-06,Google Ads,4317,91,8321,7,会員登録,53233
2024-02-06,Meta Ads,2044,42,4440,2,会員登録,11802
2024-02-06,LINE Ads,2212,67,5211,4,購入,28257
2024-02-06,Yahoo!広告,1066,50,2440,3,会員登録,11312
2024-02-07,Google Ads,4180,63,9408,3,購入,12417
2024-02-07,Meta Ads,3577,84,6571,4,会員登録,24670
2024-02-07,LINE Ads,4468,113,4529,7,購入,41389
2024-02-07,Yahoo!広告,1836,35,2658,0,会員登録,0
2024-02-08,Google Ads,2608,78,6022,5,お気に入り,28983
2024-02-08,Meta Ads,2015,113,4938,8,会員登録,36555
2024-02-08,LINE Ads,2446,103,3139,4,購入,22223
2024-02-08,Yahoo!広告,1240,63,2461,2,会員登録,15197
2024-02-09,Google Ads,4728,255,9782,15,お気に入り,94118
2024-02-09,Meta Ads,1781,20,4448,0,購入,0
2024-02-09,LINE Ads,3480,74,3829,3,会員登録,17515
2024-02-09,Yahoo!広告,2721,49,2949,3,購入,23800
2024-02-10,Google Ads,5911,151,8601,10,購入,33504
2024-02-10,Meta Ads,3770,41,6685,2,会員登録,7491
2024-02-10,LINE Ads,1344,51,2927,1,購入,4437
2024-02-10,Yahoo!広告,1862,72,3574,3,会員登録,20534
2024-02-11,Google Ads,3913,61,9054,4,購入,28820
2024-02-11,Meta Ads,5165,142,7615,10,会員登録,48444
2024-02-11,LINE Ads,2274,63,3760,2,会員登録,15300
2024-02-11,Yahoo!広告,2758,41,3842,1,購入,4029
2024-02-12,Google Ads,3497,121,6581,4,購入,13610
2024-02-12,Meta Ads,4350,48,7495,1,会員登録,3122
2024-02-12,LINE Ads,4778,142,4050,3,会員登録,11748
2024-02-12,Yahoo!広告,2883,116,2607,4,購入,14164
2024-02-13,Google Ads,4134,131,6142,8,購入,30799
2024-02-13,Meta Ads,2909,99,5796,6,購入,19388
2024-02-13,LINE Ads,2856,32,3464,2,購入,7326
2024-02-13,Yahoo!広告,1759,35,3665,1,お気に入り,6708
2024-02-14,Google Ads,7497,160,9707,12,購入,79230
2024-02-14,Meta Ads,6148,187,5743,11,お気に入り,82849
2024-02-14,LINE Ads,2007,31,4148,2,会員登録,12502
2024-02-14,Yahoo!広告,2317,105,3094,5,購入,22734
2024-02-15,Google Ads,3542,159,6829,8,お気に入り,37815
2024-02-15,Meta Ads,3635,107,7565,2,購入,14279
2024-02-15,LINE Ads,2901,141,3109,4,会員登録,18926
2024-02-15,Yahoo!広告,1695,39,3458,2,お気に入り,13830
2024-02-16,Google Ads,3307,47,6139,1,購入,3678
2024-02-16,Meta Ads,3694,46,6483,3,購入,16883
2024-02-16,LINE Ads,2036,39,3985,3,購入,11406
2024-02-16,Yahoo!広告,2798,67,3721,5,お気に入り,23246
2024-02-17,Google Ads,4514,200,8149,14,購入,84243
2024-02-17,Meta Ads,7049,152,7559,9,会員登録,49064
2024-02-17,LINE Ads,2249,24,3185,1,購入,3141
2024-02-17,Yahoo!広告,1004,59,2402,1,購入,4954
2024-02-18,Google Ads,3168,114,7367,7,購入,26301
2024-02-18,Meta Ads,4540,83,7340,5,会員登録,35380
2024-02-18,LINE Ads,2513,44,5064,2,購入,14734
2024-02-18,Yahoo!広告,3055,141,3402,6,お気に入り,36345
2024-02-19,Google Ads,2608,47,5788,3,購入,10532
2024-02-19,Meta Ads,3595,96,4283,7,購入,46012
2024-02-19,LINE Ads,2084,120,3432,4,購入,30692
2024-02-19,Yahoo!広告,3010,79,2527,3,購入,16135
2024-02-20,Google Ads,6350,369,6501,19,購入,125292
2024-02-20,Meta Ads,5848,344,7715,22,購入,154985
2024-02-20,LINE Ads,2786,124,4994,7,お気に入り,36813
2024-02-20,Yahoo!広告,2933,43,3035,1,会員登録,4961
2024-02-21,Google Ads,11686,280,9565,14,会員登録,63258
2024-02-21,Meta Ads,3829,179,5950,10,購入,52916
2024-02-21,LINE Ads,2960,106,4491,4,購入,25020
2024-02-21,Yahoo!広告,2451,126,2473,3,会員登録,20900
2024-02-22,Google Ads,4881,55,8867,1,購入,5757
2024-02-22,Meta Ads,4203,102,5874,3,購入,19256
2024-02-22,LINE Ads,2329,35,4454,1,購入,7077
2024-02-22,Yahoo!広告,3375,129,3268,7,会員登録,33243
2024-02-23,Google Ads,8932,344,9638,21,会員登録,77931
2024-02-23,Meta Ads,3905,162,5259,7,会員登録,27182
2024-02-23,LINE Ads,3879,162,4398,6,購入,29011
2024-02-23,Yahoo!広告,1514,27,3303,2,会員登録,9276
2024-02-24,Google Ads,8484,340,8268,9,購入,43814
2024-02-24,Meta Ads,6570,140,6365,6,お気に入り,30403
2024-02-24,LINE Ads,1310,30,3159,2,購入,15112
2024-02-24,Yahoo!広告,2031,93,3495,7,購入,46472
2024-02-25,Google Ads,4044,239,7514,12,お気に入り,64558
2024-02-25,Meta Ads,4200,79,5758,6,購入,29764
2024-02-25,LINE Ads,1438,51,3082,3,会員登録,10159
2024-02-25,Yahoo!広告,1634,17,3902,0,購入,0
2024-02-26,Google Ads,4133,236,8703,17,購入,90721
2024-02-26,Meta Ads,2069,75,4606,3,お気に入り,12910
2024-02-26,LINE Ads,1968,86,3561,4,購入,22769
2024-02-26,Yahoo!広告,2271,68,2982,3,購入,16912
2024-02-27,Google Ads,3596,43,5531,1,購入,5267
2024-02-27,Meta Ads,3023,40,6595,0,会員登録,0
2024-02-27,LINE Ads,2501,81,5201,5,会員登録,25840
2024-02-27,Yahoo!広告,1792,68,3226,4,購入,12460
2024-02-28,Google Ads,6163,260,8787,13,購入,60599
2024-02-28,Meta Ads,3385,137,7790,10,お気に入り,71187
2024-02-28,LINE Ads,1285,76,2977,2,会員登録,8598
2024-02-28,Yahoo!広告,1483,28,2876,1,購入,7597
2024-02-29,Google Ads,9862,191,8389,13,会員登録,94436
2024-02-29,Meta Ads,3061,55,4436,1,購入,7042
2024-02-29,LINE Ads,1628,19,3815,0,購入,0
2024-02-29,Yahoo!広告,1383,58,3450,4,購入,19867
2024-03-01,Google Ads,8665,158,10914,11,購入,55521
2024-03-01,Meta Ads,7760,216,12521,15,お気に入り,46959
2024-03-01,LINE Ads,6922,226,7958,12,購入,79282
2024-03-01,Yahoo!広告,2297,87,4105,2,会員登録,15651
2024-03-02,Google Ads,6949,100,14223,3,購入,18374
2024-03-02,Meta Ads,7510,77,7791,3,会員登録,19432
2024-03-02,LINE Ads,3040,107,4613,4,購入,20354
2024-03-02,Yahoo!広告,2856,48,4445,1,購入,4585
2024-03-03,Google Ads,7358,270,13193,11,購入,57951
2024-03-03,Meta Ads,8161,366,11083,21,購入,93525
2024-03-03,LINE Ads,4774,70,5226,2,お気に入り,7477
2024-03-03,Yahoo!広告,3064,119,4519,5,購入,24802
2024-03-04,Google Ads,6138,330,13337,6,購入,32703
2024-03-04,Meta Ads,5995,60,12224,2,購入,7200
2024-03-04,LINE Ads,5590,311,7151,18,お気に入り,121287
2024-03-04,Yahoo!広告,3448,159,4394,4,会員登録,16895
2024-03-05,Google Ads,6211,69,14218,4,購入,14826
2024-03-05,Meta Ads,4378,190,9535,13,お気に入り,52159
2024-03-05,LINE Ads,7834,177,7354,9,お気に入り,66051
2024-03-05,Yahoo!広告,2842,47,6093,2,購入,14552
2024-03-06,Google Ads,4119,200,9421,10,会員登録,67164
2024-03-06,Meta Ads,3368,86,7923,2,購入,9925
2024-03-06,LINE Ads,3554,130,4878,7,購入,52674
2024-03-06,Yahoo!広告,3464,62,6197,2,購入,9319
2024-03-07,Google Ads,9394,121,14680,6,購入,31266
2024-03-07,Meta Ads,8416,316,12550,13,お気に入り,95814
2024-03-07,LINE Ads,3287,71,5252,3,購入,13687
2024-03-07,Yahoo!広告,3784,151,5923,8,購入,62460
2024-03-08,Google Ads,9369,193,10967,6,購入,44083
2024-03-08,Meta Ads,3845,142,7280,6,購入,29079
2024-03-08,LINE Ads,2749,122,6310,3,購入,12234
2024-03-08,Yahoo!広告,2781,146,4524,8,購入,27794
2024-03-09,Google Ads,6272,295,10474,11,会員登録,33141
2024-03-09,Meta Ads,10741,570,9127,17,購入,79595
2024-03-09,LINE Ads,4637,183,8075,11,購入,71493
2024-03-09,Yahoo!広告,2055,30,4100,0,お気に入り,0
2024-03-10,Google Ads,7273,295,11155,16,購入,78095
2024-03-10,Meta Ads,5331,176,12548,11,購入,49238
2024-03-10,LINE Ads,6879,96,8212,4,購入,24041
2024-03-10,Yahoo!広告,2551,64,5734,2,お気に入り,15278
2024-03-11,Google Ads,17123,403,14807,22,会員登録,112390
2024-03-11,Meta Ads,9254,419,10666,33,会員登録,111767
2024-03-11,LINE Ads,4309,210,8423,5,購入,15024
2024-03-11,Yahoo!広告,2122,93,3529,5,購入,38775
2024-03-12,Google Ads,8900,504,12827,23,購入,104758
2024-03-12,Meta Ads,8677,483,11050,17,購入,78689
2024-03-12,LINE Ads,2869,70,5460,4,購入,29311
2024-03-12,Yahoo!広告,1777,98,4325,5,購入,23515
2024-03-13,Google Ads,7438,297,15127,7,購入,54852
2024-03-13,Meta Ads,3698,107,8932,5,お気に入り,33677
2024-03-13,LINE Ads,2910,116,5312,6,購入,41100
2024-03-13,Yahoo!広告,2246,55,4226,3,会員登録,13425
2024-03-14,Google Ads,8838,512,10044,13,お気に入り,88366
2024-03-14,Meta Ads,6201,98,7405,2,購入,10512
2024-03-14,LINE Ads,2817,41,5125,1,お気に入り,4503
2024-03-14,Yahoo!広告,2590,39,5854,1,購入,4117
2024-03-15,Google Ads,6949,389,11970,27,会員登録,111964
2024-03-15,Meta Ads,3363,169,7718,9,購入,48367
2024-03-15,LINE Ads,3171,177,5016,11,購入,53541
2024-03-15,Yahoo!広告,1622,76,3805,5,購入,36390
2024-03-16,Google Ads,13313,493,14652,11,購入,85929
2024-03-16,Meta Ads,5867,189,11158,13,会員登録,100113
2024-03-16,LINE Ads,4005,179,5838,11,お気に入り,72927
2024-03-16,Yahoo!広告,2784,89,4111,4,購入,31549
2024-03-17,Google Ads,3693,206,8955,12,購入,44890
2024-03-17,Meta Ads,5188,156,11924,3,購入,19317
2024-03-17,LINE Ads,4682,57,5953,4,購入,28226
2024-03-17,Yahoo!広告,3154,171,3837,6,購入,27093
2024-03-18,Google Ads,6529,72,9835,4,購入,22995
2024-03-18,Meta Ads,3607,107,8938,4,会員登録,21792
2024-03-18,LINE Ads,3876,197,5885,12,お気に入り,44600
2024-03-18,Yahoo!広告,4619,58,6173,1,購入,3946
2024-03-19,Google Ads,5334,267,13184,19,お気に入り,69816
2024-03-19,Meta Ads,10656,145,8649,11,お気に入り,35590
2024-03-19,LINE Ads,7391,324,8371,9,購入,33491
2024-03-19,Yahoo!広告,2360,102,4101,6,購入,30173
2024-03-20,Google Ads,6176,97,13183,1,購入,5610
2024-03-20,Meta Ads,6614,66,10034,1,購入,4900
2024-03-20,LINE Ads,2235,115,5260,8,お気に入り,57447
2024-03-20,Yahoo!広告,2759,61,3841,2,会員登録,11033
2024-03-21,Google Ads,7381,358,11203,7,購入,25309
2024-03-21,Meta Ads,9484,287,8770,19,購入,146574
2024-03-21,LINE Ads,3983,207,8338,5,購入,24364
2024-03-21,Yahoo!広告,2454,61,3439,1,購入,4585
2024-03-22,Google Ads,6000,332,13134,9,会員登録,55255
2024-03-22,Meta Ads,8083,241,11132,18,購入,63907
2024-03-22,LINE Ads,5821,288,5105,10,購入,56388
2024-03-22,Yahoo!広告,2610,74,3833,3,購入,21199
2024-03-23,Google Ads,12629,333,10753,19,購入,73670
2024-03-23,Meta Ads,4629,77,7604,2,購入,9806
2024-03-23,LINE Ads,7226,380,7541,30,購入,219281
2024-03-23,Yahoo!広告,3900,158,5027,4,購入,12600
2024-03-24,Google Ads,8606,500,11370,12,購入,46843
2024-03-24,Meta Ads,4245,222,8541,10,購入,70328
2024-03-24,LINE Ads,3922,68,8123,3,会員登録,11237
2024-03-24,Yahoo!広告,2364,36,5549,2,購入,8809
2024-03-25,Google Ads,13964,549,14440,22,購入,113095
2024-03-25,Meta Ads,5331,231,8294,10,購入,61837
2024-03-25,LINE Ads,6391,185,5138,7,会員登録,32631
2024-03-25,Yahoo!広告,2792,154,6284,5,購入,29131
2024-03-26,Google Ads,8552,462,14295,11,お気に入り,79859
2024-03-26,Meta Ads,2949,120,7016,8,会員登録,56549
2024-03-26,LINE Ads,2934,157,7144,8,購入,53698
2024-03-26,Yahoo!広告,2473,47,5311,3,お気に入り,22671
2024-03-27,Google Ads,12811,529,12180,27,お気に入り,82621
2024-03-27,Meta Ads,4878,203,10915,7,お気に入り,45218
2024-03-27,LINE Ads,4309,135,6791,6,購入,39305
2024-03-27,Yahoo!広告,3293,87,5817,3,購入,10606
2024-03-28,Google Ads,14915,668,15722,42,購入,243743
2024-03-28,Meta Ads,4572,65,8172,2,購入,15282
2024-03-28,LINE Ads,6069,157,8452,6,お気に入り,42362
2024-03-28,Yahoo!広告,3686,140,6340,6,購入,24848
2024-03-29,Google Ads,4411,142,9502,3,会員登録,11247
2024-03-29,Meta Ads,8191,410,11686,15,購入,77726
2024-03-29,LINE Ads,4768,91,5988,6,購入,39371
2024-03-29,Yahoo!広告,1852,77,4113,3,購入,19257
2024-03-30,Google Ads,14715,622,12470,47,購入,243855
2024-03-30,Meta Ads,8685,295,11584,8,購入,24374
2024-03-30,LINE Ads,2760,144,4593,9,会員登録,48202
2024-03-30,Yahoo!広告,4533,52,5600,3,購入,16041
2024-03-31,Google Ads,4613,88,8571,3,購入,15041
2024-03-31,Meta Ads,9341,560,8036,33,購入,180814
2024-03-31,LINE Ads,3520,49,6666,3,購入,13348
2024-03-31,Yahoo!広告,3918,170,4677,13,会員登録,99175
2024-04-01,Google Ads,7426,109,16507,4,会員登録,24108
2024-04-01,Meta Ads,12868,726,10477,20,購入,63364
2024-04-01,LINE Ads,4542,240,9971,7,購入,44838
2024-04-01,Yahoo!広告,2778,44,6344,3,購入,15431
2024-04-02,Google Ads,6145,365,15243,25,購入,103672
2024-04-02,Meta Ads,9315,548,9533,38,購入,233260
2024-04-02,LINE Ads,2500,107,6216,6,購入,20431
2024-04-02,Yahoo!広告,4637,172,6179,11,購入,63155
2024-04-03,Google Ads,8699,236,15994,11,購入,70144
2024-04-03,Meta Ads,8718,433,10417,17,購入,67718
2024-04-03,LINE Ads,7251,349,9774,9,購入,42968
2024-04-03,Yahoo!広告,3208,85,4531,1,購入,6205
2024-04-04,Google Ads,6735,108,16560,7,購入,36731
2024-04-04,Meta Ads,10832,586,15231,34,お気に入り,263263
2024-04-04,LINE Ads,5641,131,6220,5,購入,37251
2024-04-04,Yahoo!広告,7386,373,7340,7,購入,47655
2024-04-05,Google Ads,5360,76,11670,5,購入,31833
2024-04-05,Meta Ads,4327,257,8932,12,お気に入り,57526
2024-04-05,LINE Ads,3437,109,6597,5,購入,20550
2024-04-05,Yahoo!広告,4514,223,6073,7,お気に入り,36823
2024-04-06,Google Ads,13897,451,16452,26,会員登録,79690
2024-04-06,Meta Ads,10275,357,13783,22,お気に入り,93476
2024-04-06,LINE Ads,5284,142,9665,4,購入,14473
2024-04-06,Yahoo!広告,4353,138,6417,8,お気に入り,45548
2024-04-07,Google Ads,13906,210,18085,11,会員登録,84013
2024-04-07,Meta Ads,4511,146,8734,9,購入,32060
2024-04-07,LINE Ads,3671,178,8054,8,購入,33986
2024-04-07,Yahoo!広告,4726,148,6837,2,お気に入り,9740
2024-04-08,Google Ads,11465,208,18484,5,購入,21360
2024-04-08,Meta Ads,6613,381,15860,24,購入,135561
2024-04-08,LINE Ads,5346,287,8832,7,購入,41311
2024-04-08,Yahoo!広告,3524,106,6696,6,購入,44179
2024-04-09,Google Ads,5308,150,13255,5,お気に入り,20797
2024-04-09,Meta Ads,5630,76,9909,4,購入,20563
2024-04-09,LINE Ads,5469,201,10245,14,お気に入り,111587
2024-04-09,Yahoo!広告,6361,341,7417,10,お気に入り,69466
2024-04-10,Google Ads,6122,87,14952,3,購入,17090
2024-04-10,Meta Ads,4567,197,10809,11,購入,60313
2024-04-10,LINE Ads,5853,301,6171,21,会員登録,125562
2024-04-10,Yahoo!広告,2293,30,5536,1,会員登録,6520
2024-04-11,Google Ads,10461,281,13372,22,購入,138910
2024-04-11,Meta Ads,4948,96,10387,7,購入,26236
2024-04-11,LINE Ads,3890,200,9427,7,購入,25891
2024-04-11,Yahoo!広告,2652,90,5623,4,購入,31371
2024-04-12,Google Ads,17736,966,17438,75,購入,415874
2024-04-12,Meta Ads,6081,69,12862,2,購入,11361
2024-04-12,LINE Ads,3508,98,7308,7,会員登録,21252
2024-04-12,Yahoo!広告,3570,128,5747,6,会員登録,47256
2024-04-13,Google Ads,8110,181,12876,11,会員登録,85477
2024-04-13,Meta Ads,9590,310,14307,21,購入,128098
2024-04-13,LINE Ads,4800,110,7439,6,購入,45162
2024-04-13,Yahoo!広告,2274,76,5005,3,購入,9260
2024-04-14,Google Ads,4880,54,12153,1,購入,4541
2024-04-14,Meta Ads,5723,190,9459,13,お気に入り,89360
2024-04-14,LINE Ads,3726,208,8731,4,購入,21915
2024-04-14,Yahoo!広告,3042,45,6231,1,お気に入り,4702
2024-04-15,Google Ads,5308,160,12464,10,会員登録,49888
2024-04-15,Meta Ads,8648,514,10885,37,お気に入り,223204
2024-04-15,LINE Ads,7044,157,8155,7,お気に入り,51083
2024-04-15,Yahoo!広告,2210,80,4990,4,購入,29751
2024-04-16,Google Ads,7014,387,16948,22,会員登録,116774
2024-04-16,Meta Ads,11172,501,9503,37,購入,274968
2024-04-16,LINE Ads,5029,108,10646,5,購入,32202
2024-04-16,Yahoo!広告,3081,109,6432,7,お気に入り,23388
2024-04-17,Google Ads,10580,343,10896,9,購入,36781
2024-04-17,Meta Ads,12172,507,15917,13,購入,45578
2024-04-17,LINE Ads,4377,231,9279,5,会員登録,16997
2024-04-17,Yahoo!広告,3064,61,6018,4,会員登録,13397
2024-04-18,Google Ads,8817,431,12854,25,会員登録,124173
2024-04-18,Meta Ads,5260,195,11571,3,会員登録,9534
2024-04-18,LINE Ads,5363,208,9344,10,購入,68151
2024-04-18,Yahoo!広告,3945,131,7807,5,購入,22147
2024-04-19,Google Ads,5431,217,13572,16,購入,78908
2024-04-19,Meta Ads,8516,181,14236,7,会員登録,38606
2024-04-19,LINE Ads,5960,287,7063,13,購入,63943
2024-04-19,Yahoo!広告,3417,144,7323,4,購入,29215
2024-04-20,Google Ads,17877,1062,20023,38,購入,287659
2024-04-20,Meta Ads,13074,654,11161,19,購入,62693
2024-04-20,LINE Ads,7038,146,8360,5,購入,36199
2024-04-20,Yahoo!広告,7801,267,6573,20,購入,92320
2024-04-21,Google Ads,13953,398,12351,22,会員登録,125577
2024-04-21,Meta Ads,11330,238,15370,7,購入,42672
2024-04-21,LINE Ads,3317,113,7641,8,購入,51363
